location_name," Population estimates, July 1, 2019,  (V2019) "," Population estimates, July 1, 2018,  (V2018) "," Population estimates base, April 1, 2010,  (V2019) "," Population estimates base, April 1, 2010,  (V2018) "," Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019) "," Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018) "," Population, Census, April 1, 2010 "," Persons under 5 years, percent "," Persons under 18 years, percent "," Persons 65 years and over, percent "," Female persons, percent "," White alone, percent "," Black or African American alone, percent "," American Indian and Alaska Native alone, percent "," Asian alone, percent "," Native Hawaiian and Other Pacific Islander alone, percent "," Two or More Races, percent "," Hispanic or Latino, percent "," White alone, not Hispanic or Latino, percent "," Veterans, 2014-2018 "," Foreign born persons, percent, 2014-2018 "," Housing units,  July 1, 2018,  (V2018) "," Owner-occupied housing unit rate, 2014-2018 "," Median value of owner-occupied housing units, 2014-2018 "," Median selected monthly owner costs -with a mortgage, 2014-2018 "," Median selected monthly owner costs -without a mortgage, 2014-2018 "," Median gross rent, 2014-2018 "," Building permits, 2018 "," Households, 2014-2018 "," Persons per household, 2014-2018 "," Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018 "," Language other than English spoken at home, percent of persons age 5 years+, 2014-2018 "," Households with a computer, percent, 2014-2018 "," Households with a broadband Internet subscription, percent, 2014-2018 "," High school graduate or higher, percent of persons age 25 years+, 2014-2018 "," Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018 "," With a disability, under age 65 years, percent, 2014-2018 "," Persons  without health insurance, under age 65 years, percent "," In civilian labor force, total, percent of population age 16 years+, 2014-2018 "," In civilian labor force, female, percent of population age 16 years+, 2014-2018 "," Total accommodation and food services sales, 2012 ($1,000) "," Total health care and social assistance receipts/revenue, 2012 ($1,000) "," Total manufacturers shipments, 2012 ($1,000) "," Total merchant wholesaler sales, 2012 ($1,000) "," Total retail sales, 2012 ($1,000) "," Total retail sales per capita, 2012 "," Mean travel time to work (minutes), workers age 16 years+, 2014-2018 "," Median household income (in 2018 dollars), 2014-2018 "," Per capita income in past 12 months (in 2018 dollars), 2014-2018 "," Persons in poverty, percent "," Total employer establishments, 2017 "," Total employment, 2017 "," Total annual payroll, 2017 ($1,000) "," Total employment, percent change, 2016-2017 "," Total nonemployer establishments, 2017 "," All firms, 2012 "," Men-owned firms, 2012 "," Women-owned firms, 2012 "," Minority-owned firms, 2012 "," Nonminority-owned firms, 2012 "," Veteran-owned firms, 2012 "," Nonveteran-owned firms, 2012 "," Population per square mile, 2010 "," Land area in square miles, 2010 "
 Alabama ,"4,903,185.00","4,887,871.00","4,780,125.00","4,780,138.00",0.03,0.02,"4,779,736.00",0.06,0.22,0.17,0.52,0.69,0.27,0.01,0.02,0,0.02,0.04,0.65,"335,599.00",0.04,"2,274,565.00",0.69,"137,200.00","1,174.00",358,772,"14,824.00","1,860,269.00",2.55,0.86,0.05,0.83,0.73,0.86,0.25,0.12,0.12,0.57,0.52,"7,576,462.00","26,039,632.00","124,809,759.00","57,746,565.00","58,564,965.00","12,145.00",24.7,"48,486.00","26,846.00",0.17,"100,419.00","1,690,061.00","71,746,399.00",0.01,"329,993.00","374,153.00","203,604.00","137,630.00","92,219.00","272,651.00","41,943.00","316,984.00",94.4,"50,645.33"
 Colorado ,"5,758,736.00","5,695,564.00","5,029,319.00","5,029,316.00",0.15,0.13,"5,029,196.00",0.06,0.22,0.14,0.5,0.87,0.05,0.02,0.04,0,0.03,0.22,0.68,"375,746.00",0.1,"2,424,051.00",0.65,"313,600.00","1,681.00",458,"1,196.00","42,627.00","2,113,387.00",2.56,0.82,0.17,0.93,0.86,0.91,0.4,0.07,0.09,0.68,0.63,"13,617,654.00","29,488,161.00","50,447,098.00","77,034,971.00","67,815,200.00","13,073.00",25.5,"68,811.00","36,415.00",0.1,"169,842.00","2,371,694.00","126,786,000.00",0.02,"517,350.00","547,352.00","284,554.00","194,508.00","85,849.00","442,365.00","51,722.00","469,524.00",48.5,"103,641.89"
 California ,"39,512,223.00","39,557,045.00","37,254,519.00","37,254,523.00",0.06,0.06,"37,253,956.00",0.06,0.23,0.14,0.5,0.72,0.07,0.02,0.15,0.01,0.04,0.39,0.37,"1,618,861.00",0.27,"14,277,157.00",0.55,"475,900.00","2,282.00",569,"1,429.00","113,502.00","12,965,435.00",2.96,0.87,0.44,0.92,0.85,0.83,0.33,0.07,0.08,0.63,0.57,"90,830,372.00","248,953,592.00","512,303,164.00","666,652,186.00","481,800,461.00","12,665.00",29.3,"71,228.00","35,021.00",0.13,"941,377.00","14,896,625.00","955,043,843.00",0.02,"3,374,050.00","3,548,449.00","1,852,580.00","1,320,085.00","1,619,857.00","1,819,107.00","252,377.00","3,176,341.00",239.1,"155,779.22"
 Arkansas ,"3,017,804.00","3,013,825.00","2,916,031.00","2,916,028.00",0.04,0.03,"2,915,918.00",0.06,0.23,0.17,0.51,0.79,0.16,0.01,0.02,0,0.02,0.08,0.72,"202,572.00",0.05,"1,380,504.00",0.66,"123,300.00","1,071.00",347,729,"10,179.00","1,152,175.00",2.52,0.84,0.07,0.84,0.7,0.86,0.23,0.13,0.1,0.58,0.53,"4,307,264.00","15,792,628.00","62,712,925.00","31,256,110.00","36,815,256.00","12,483.00",21.7,"45,726.00","25,635.00",0.17,"66,786.00","1,030,593.00","42,305,514.00",0.01,"205,915.00","231,959.00","123,158.00","75,962.00","35,982.00","189,029.00","25,915.00","192,988.00",56,"52,035.48"
 Arizona ,"7,278,717.00","7,171,646.00","6,392,288.00","6,392,288.00",0.14,0.12,"6,392,017.00",0.06,0.23,0.18,0.5,0.83,0.05,0.05,0.04,0,0.03,0.32,0.54,"487,684.00",0.13,"3,035,669.00",0.64,"209,600.00","1,394.00",406,"1,009.00","41,664.00","2,524,300.00",2.69,0.82,0.27,0.9,0.82,0.87,0.29,0.09,0.13,0.59,0.55,"13,996,635.00","37,055,881.00","51,243,473.00","69,437,272.00","84,716,542.00","12,927.00",25.3,"56,213.00","29,265.00",0.14,"143,306.00","2,448,538.00","113,490,959.00",0.03,"485,984.00","499,926.00","245,243.00","182,425.00","135,313.00","344,981.00","46,780.00","427,582.00",56.3,"113,594.08"
 Alaska ,"731,545.00","737,438.00","710,249.00","710,249.00",0.03,0.04,"710,231.00",0.07,0.25,0.12,0.48,0.65,0.04,0.15,0.07,0.01,0.07,0.07,0.6,"67,452.00",0.08,"318,336.00",0.64,"265,200.00","1,907.00",573,"1,231.00","1,677.00","253,462.00",2.81,0.82,0.16,0.93,0.84,0.93,0.29,0.09,0.14,0.66,0.64,"2,221,335.00","6,375,483.00", D ,"5,216,303.00","10,474,275.00","14,320.00",18.8,"76,715.00","35,874.00",0.11,"21,279.00","262,075.00","15,007,844.00",-0.02,"56,796.00","68,032.00","35,402.00","22,141.00","13,688.00","51,147.00","7,953.00","56,091.00",1.2,"570,640.95"
 Idaho ,"1,787,065.00","1,754,208.00","1,567,657.00","1,567,657.00",0.14,0.12,"1,567,582.00",0.07,0.26,0.16,0.5,0.93,0.01,0.02,0.02,0,0.03,0.13,0.82,"115,045.00",0.06,"735,672.00",0.69,"192,300.00","1,228.00",368,825,"15,824.00","618,331.00",2.68,0.83,0.11,0.9,0.8,0.91,0.27,0.09,0.13,0.62,0.57,"2,680,225.00","7,895,614.00","20,201,432.00","17,906,012.00","20,444,278.00","12,812.00",20.7,"53,089.00","26,772.00",0.12,"47,574.00","578,134.00","23,564,597.00",0.03,"130,699.00","146,642.00","70,438.00","45,121.00","10,592.00","130,973.00","12,804.00","124,314.00",19,"82,643.12"
 Hawaii ,"1,415,872.00","1,420,491.00","1,360,307.00","1,360,307.00",0.04,0.04,"1,360,301.00",0.06,0.21,0.18,0.5,0.26,0.02,0,0.38,0.1,0.24,0.11,0.22,"105,563.00",0.18,"546,213.00",0.58,"587,700.00","2,350.00",519,"1,566.00","4,659.00","456,782.00",3.02,0.86,0.26,0.9,0.83,0.92,0.33,0.07,0.05,0.62,0.6,"9,536,706.00","8,136,947.00", D ,"9,607,982.00","18,901,745.00","13,576.00",27.4,"78,084.00","34,035.00",0.09,"32,800.00","544,056.00","24,366,355.00",0.03,"111,003.00","118,454.00","60,409.00","44,453.00","74,208.00","38,510.00","11,148.00","101,334.00",211.8,"6,422.63"
 Georgia ,"10,617,423.00","10,519,475.00","9,688,729.00","9,688,709.00",0.1,0.09,"9,687,653.00",0.06,0.24,0.14,0.51,0.61,0.32,0.01,0.04,0,0.02,0.1,0.52,"636,725.00",0.1,"4,326,105.00",0.63,"166,800.00","1,383.00",418,968,"59,315.00","3,709,488.00",2.71,0.85,0.14,0.89,0.79,0.87,0.31,0.09,0.16,0.62,0.58,"18,976,611.00","51,800,643.00","155,836,792.00","143,645,290.00","119,801,495.00","12,077.00",28.4,"55,679.00","29,523.00",0.14,"233,500.00","3,888,928.00","191,941,305.00",0.02,"915,043.00","929,864.00","480,578.00","376,506.00","371,588.00","538,893.00","96,787.00","800,585.00",168.4,"57,513.49"
 Florida ,"21,477,737.00","21,299,325.00","18,804,564.00","18,804,580.00",0.14,0.13,"18,801,310.00",0.05,0.2,0.21,0.51,0.77,0.17,0.01,0.03,0,0.02,0.26,0.54,"1,452,967.00",0.21,"9,547,305.00",0.65,"196,800.00","1,466.00",492,"1,128.00","144,427.00","7,621,760.00",2.65,0.84,0.29,0.9,0.81,0.88,0.29,0.09,0.16,0.58,0.54,"49,817,925.00","124,061,425.00","96,924,106.00","252,626,608.00","273,867,145.00","14,177.00",27.4,"53,267.00","30,197.00",0.14,"557,308.00","8,385,577.00","378,219,262.00",0.03,"2,245,127.00","2,100,187.00","1,084,885.00","807,817.00","926,112.00","1,121,749.00","185,756.00","1,846,686.00",350.6,"53,624.76"
